shipment_id,supplier_id,product_id,shipment_date,expected_arrival,actual_arrival,shipment_quantity,shipment_status,product_name,category,unit_price,product_supplier_id,supplier_name,city,lead_time,rating,inventory_id,warehouse,stock_quantity,last_updated,disruption_id,disruption_type,severity,description,reported_date,decision_id,recommended_action,action_taken,decision_date,outcome_id,outcome_status,delay_days,cost_change,remarks,lead_time_category,cost_impact,delivery_delay,supplier_avg_delay,shipment_month,shipment_year,shipment_quarter,shipment_weekday,is_delayed,delay_category,high_severity,large_shipment,inventory_status,shipment_value
16,11,93,2026-05-22,2026-05-29,2026-05-28,238,Delivered,Nemo Product,Automotive,3838.07,10,Banerjee Group,Alappuzha,8.52,4.3,93,Mumbai Warehouse,413,2026-06-19,,,,,,,,,,,,,,,Average,No Cost,-1,1.3842592592592593,May,2026,2,Friday,0,On Time,0,0,High,913460.66
17,3,141,2025-08-10,2025-08-12,2025-08-13,392,Cancelled,Provident Product,Automotive,4798.63,6,"Balan, Virk and Mangal",Bangalore,3.73,4.49,141,Delhi Warehouse,291,2026-07-10,,,,,,,,,,,,,,,Fast,No Cost,1,1.595,August,2025,3,Sunday,1,Minor Delay,0,1,Medium,1881062.96
18,2,58,2024-11-06,2024-11-10,2024-11-08,255,Cancelled,Tempore Product,Groceries,4870.19,6,Gour Ltd,Bhilwara,8.05,3.83,58,Bangalore Warehouse,328,2026-07-11,,,,,,,,,,,,,,,Average,No Cost,-2,1.4691943127962086,November,2024,4,Wednesday,0,On Time,0,0,High,1241898.45
19,13,106,2026-05-15,2026-05-22,2026-05-23,334,Cancelled,Officiis Product,Clothing,3586.71,17,"Borah, Gill and Varma",Dehri,6.15,3.78,106,Delhi Warehouse,595,2026-06-23,,,,,,,,,,,,,,,Average,No Cost,1,1.5668449197860963,May,2026,2,Friday,1,Minor Delay,0,1,High,1197961.14
20,6,28,2025-03-05,2025-03-13,2025-03-17,166,In Transit,Quidem Product,Groceries,4168.94,2,Bhavsar-Sampath,Bangalore,2.52,3.72,28,Hyderabad Warehouse,118,2026-06-24,,,,,,,,,,,,,,,Fast,No Cost,4,1.5972222222222223,March,2025,1,Wednesday,1,Major Delay,0,0,Medium,692044.0399999999
21,19,125,2025-08-14,2025-08-21,2025-08-23,382,Delayed,Consectetur Product,Clothing,1221.23,13,"Nagar, Hari and Chada",Munger,9.42,4.61,125,Chennai Warehouse,72,2026-06-29,,,,,,,,,,,,,,,Average,No Cost,2,1.51131221719457,August,2025,3,Thursday,1,Minor Delay,0,1,Low,466509.86
22,8,46,2025-01-24,2025-02-02,2025-02-07,207,Delayed,Impedit Product,Electronics,1574.36,7,Hans-Bir,Siliguri,2.43,4.68,46,Chennai Warehouse,372,2026-06-23,,,,,,,,,,,,,,,Fast,No Cost,5,1.5902439024390245,January,2025,1,Friday,1,Major Delay,0,0,High,325892.51999999996
23,16,114,2025-01-03,2025-01-12,2025-01-17,416,In Transit,Dicta Product,Clothing,1943.15,20,Handa-Manda,Vijayanagaram,8.66,4.77,114,Hyderabad Warehouse,822,2026-07-08,,,,,,,,,,,,,,,Average,No Cost,5,1.4335260115606936,January,2025,1,Friday,1,Major Delay,0,1,High,808350.4
24,4,108,2026-04-21,2026-04-28,2026-04-30,213,Delivered,Debitis Product,Automotive,3133.95,9,Rajagopal-Jayaraman,Jalna,1.0,3.51,108,Hyderabad Warehouse,767,2026-07-07,,,,,,,,,,,,,,,Fast,No Cost,2,1.5989304812834224,April,2026,2,Tuesday,1,Minor Delay,0,0,High,667531.35
25,3,57,2026-05-08,2026-05-16,2026-05-20,63,Delayed,Distinctio Product,Automotive,863.84,19,"Balan, Virk and Mangal",Bangalore,3.73,4.49,57,Hyderabad Warehouse,848,2026-06-28,,,,,,,,,,,,,,,Fast,No Cost,4,1.595,May,2026,2,Friday,1,Major Delay,0,0,High,54421.920000000006
26,14,21,2026-03-21,2026-03-28,2026-03-29,329,Delivered,Animi Product,Automotive,3616.57,8,"Bahri, Dugar and Ratti",Kottayam,8.09,4.85,21,Delhi Warehouse,666,2026-06-27,,,,,,,,,,,,,,,Average,No Cost,1,1.6612021857923498,March,2026,1,Saturday,1,Minor Delay,0,1,High,1189851.53
27,2,40,2024-08-22,2024-09-01,2024-09-05,291,Delivered,Nemo Product,Groceries,2824.16,10,Gour Ltd,Bhilwara,8.05,3.83,40,Hyderabad Warehouse,554,2026-06-27,,,,,,,,,,,,,,,Average,No Cost,4,1.4691943127962086,August,2024,3,Thursday,1,Major Delay,0,1,High,821830.5599999999
28,9,49,2025-01-27,2025-02-06,2025-02-06,398,Cancelled,Alias Product,Furniture,4769.64,3,"Loyal, Varma and Tripathi",Firozabad,9.75,4.64,49,Bangalore Warehouse,842,2026-07-01,,,,,,,,,,,,,,,Average,No Cost,0,1.3277310924369747,January,2025,1,Monday,0,On Time,0,1,High,1898316.7200000002
29,19,44,2025-01-17,2025-01-20,2025-01-24,314,Delivered,Voluptatum Product,Groceries,3216.56,15,"Nagar, Hari and Chada",Munger,9.42,4.61,44,Chennai Warehouse,740,2026-07-04,,,,,,,,,,,,,,,Average,No Cost,4,1.51131221719457,January,2025,1,Friday,1,Major Delay,0,1,High,1009999.84
30,10,44,2026-02-17,2026-02-24,2026-03-01,361,Delivered,Voluptatum Product,Groceries,3216.56,15,"Mitter, Srinivasan and Dixit",Shimoga,1.81,3.9,44,Chennai Warehouse,740,2026-07-04,,,,,,,,,,,,,,,Fast,No Cost,5,1.8480392156862746,February,2026,1,Tuesday,1,Major Delay,0,1,High,1161178.16
31,18,86,2025-06-24,2025-07-02,2025-07-07,159,Cancelled,Aliquam Product,Electronics,2475.27,3,Raju and Sons,Etawah,3.81,4.27,86,Mumbai Warehouse,687,2026-06-23,,,,,,,,,,,,,,,Fast,No Cost,5,1.9109947643979057,June,2025,2,Tuesday,1,Major Delay,0,0,High,393567.93
32,1,89,2025-11-12,2025-11-21,2025-11-26,355,Delayed,Fugiat Product,Electronics,4524.8,7,"Balasubramanian, Gara and Memon",Nadiad,5.69,4.88,89,Bangalore Warehouse,597,2026-06-18,,,,,,,,,,,,,,,Average,No Cost,5,1.427027027027027,November,2025,4,Wednesday,1,Major Delay,0,1,High,1606304.0
33,11,45,2025-04-21,2025-04-27,2025-04-26,333,Cancelled,Nobis Product,Medical,164.54,6,Banerjee Group,Alappuzha,8.52,4.3,45,Bangalore Warehouse,567,2026-07-04,,,,,,,,,,,,,,,Average,No Cost,-1,1.3842592592592593,April,2025,2,Monday,0,On Time,0,1,High,54791.82
34,2,66,2026-05-19,2026-05-21,2026-05-24,495,In Transit,Quas Product,Groceries,4225.31,19,Gour Ltd,Bhilwara,8.05,3.83,66,Bangalore Warehouse,853,2026-06-19,,,,,,,,,,,,,,,Average,No Cost,3,1.4691943127962086,May,2026,2,Tuesday,1,Minor Delay,0,1,High,2091528.4500000002
35,10,18,2024-09-08,2024-09-10,2024-09-14,287,Delayed,Commodi Product,Electronics,2870.64,11,"Mitter, Srinivasan and Dixit",Shimoga,1.81,3.9,18,Mumbai Warehouse,611,2026-06-21,,,,,,,,,,,,,,,Fast,No Cost,4,1.8480392156862746,September,2024,3,Sunday,1,Major Delay,0,1,High,823873.6799999999
36,19,9,2025-04-24,2025-04-26,2025-04-27,268,Cancelled,Alias Product,Groceries,1305.18,16,"Nagar, Hari and Chada",Munger,9.42,4.61,9,Mumbai Warehouse,917,2026-07-04,,,,,,,,,,,,,,,Average,No Cost,1,1.51131221719457,April,2025,2,Thursday,1,Minor Delay,0,1,High,349788.24
37,9,29,2026-01-24,2026-01-29,2026-01-28,201,In Transit,Architecto Product,Furniture,4183.31,3,"Loyal, Varma and Tripathi",Firozabad,9.75,4.64,29,Chennai Warehouse,981,2026-06-27,,,,,,,,,,,,,,,Average,No Cost,-1,1.3277310924369747,January,2026,1,Saturday,0,On Time,0,0,High,840845.31
38,13,116,2025-04-19,2025-04-24,2025-04-25,42,Cancelled,Architecto Product,Groceries,763.04,10,"Borah, Gill and Varma",Dehri,6.15,3.78,116,Bangalore Warehouse,102,2026-07-04,,,,,,,,,,,,,,,Average,No Cost,1,1.5668449197860963,April,2025,2,Saturday,1,Minor Delay,0,0,Medium,32047.68
39,20,65,2024-07-16,2024-07-24,2024-07-28,369,Delayed,Ut Product,Groceries,3277.06,2,Chakraborty-Sengupta,Malda,5.0,3.56,65,Delhi Warehouse,911,2026-07-06,,,,,,,,,,,,,,,Fast,No Cost,4,1.3526570048309179,July,2024,3,Tuesday,1,Major Delay,0,1,High,1209235.14
40,1,128,2024-10-25,2024-10-28,2024-10-28,22,Delivered,Non Product,Clothing,4746.22,5,"Balasubramanian, Gara and Memon",Nadiad,5.69,4.88,128,Hyderabad Warehouse,464,2026-06-23,,,,,,,,,,,,,,,Average,No Cost,0,1.427027027027027,October,2024,4,Friday,0,On Time,0,0,High,104416.84000000001
41,10,29,2025-07-29,2025-08-06,2025-08-04,71,Delayed,Architecto Product,Furniture,4183.31,3,"Mitter, Srinivasan and Dixit",Shimoga,1.81,3.9,29,Chennai Warehouse,981,2026-06-27,,,,,,,,,,,,,,,Fast,No Cost,-2,1.8480392156862746,July,2025,3,Tuesday,0,On Time,0,0,High,297015.01
42,14,148,2024-10-28,2024-11-07,2024-11-05,157,Delayed,Saepe Product,Groceries,920.71,10,"Bahri, Dugar and Ratti",Kottayam,8.09,4.85,148,Delhi Warehouse,944,2026-06-16,,,,,,,,,,,,,,,Average,No Cost,-2,1.6612021857923498,October,2024,4,Monday,0,On Time,0,0,High,144551.47
43,4,109,2024-12-21,2024-12-27,2024-12-29,320,Delayed,Beatae Product,Automotive,1167.1,12,Rajagopal-Jayaraman,Jalna,1.0,3.51,109,Mumbai Warehouse,573,2026-06-17,,,,,,,,,,,,,,,Fast,No Cost,2,1.5989304812834224,December,2024,4,Saturday,1,Minor Delay,0,1,High,373472.0
44,13,121,2025-04-12,2025-04-21,2025-04-20,313,Delayed,Veniam Product,Furniture,3093.62,19,"Borah, Gill and Varma",Dehri,6.15,3.78,121,Bangalore Warehouse,683,2026-06-20,,,,,,,,,,,,,,,Average,No Cost,-1,1.5668449197860963,April,2025,2,Saturday,0,On Time,0,1,High,968303.0599999999
45,3,55,2024-07-18,2024-07-25,2024-07-23,349,Delayed,Odio Product,Furniture,4563.23,5,"Balan, Virk and Mangal",Bangalore,3.73,4.49,55,Bangalore Warehouse,422,2026-07-01,,,,,,,,,,,,,,,Fast,No Cost,-2,1.595,July,2024,3,Thursday,0,On Time,0,1,High,1592567.2699999998
46,17,112,2026-06-26,2026-07-05,2026-07-06,446,Delivered,Modi Product,Electronics,2985.26,19,"Sule, Jaggi and Char",Pallavaram,6.39,3.52,112,Bangalore Warehouse,212,2026-06-25,,,,,,,,,,,,,,,Average,No Cost,1,1.795,June,2026,2,Friday,1,Minor Delay,0,1,Medium,1331425.9600000002
47,16,24,2025-06-17,2025-06-27,2025-06-30,75,Delivered,Dolorem Product,Medical,3211.29,13,Handa-Manda,Vijayanagaram,8.66,4.77,24,Bangalore Warehouse,374,2026-06-27,,,,,,,,,,,,,,,Average,No Cost,3,1.4335260115606936,June,2025,2,Tuesday,1,Minor Delay,0,0,High,240846.75
48,18,114,2024-11-12,2024-11-20,2024-11-19,449,Cancelled,Dicta Product,Clothing,1943.15,20,Raju and Sons,Etawah,3.81,4.27,114,Hyderabad Warehouse,822,2026-07-08,,,,,,,,,,,,,,,Fast,No Cost,-1,1.9109947643979057,November,2024,4,Tuesday,0,On Time,0,1,High,872474.3500000001
49,9,11,2024-08-26,2024-09-05,2024-09-05,135,In Transit,Ducimus Product,Clothing,2306.22,11,"Loyal, Varma and Tripathi",Firozabad,9.75,4.64,11,Delhi Warehouse,137,2026-06-19,,,,,,,,,,,,,,,Average,No Cost,0,1.3277310924369747,August,2024,3,Monday,0,On Time,0,0,Medium,311339.69999999995
50,14,69,2026-06-09,2026-06-11,2026-06-16,430,Cancelled,Ipsa Product,Groceries,1707.84,17,"Bahri, Dugar and Ratti",Kottayam,8.09,4.85,69,Mumbai Warehouse,267,2026-07-09,571.0,Supplier Delay,Low,Dolores odio neque atque impedit.,2025-11-23,571.0,Expedite Shipment,Implemented,2025-12-09,571.0,Pending,4.0,-2581.14,Cost increased,Average,Low,5,1.6612021857923498,June,2026,2,Tuesday,1,Major Delay,0,1,Medium,734371.2
51,9,103,2024-11-20,2024-11-27,2024-12-02,243,Delayed,Sunt Product,Furniture,3330.94,12,"Loyal, Varma and Tripathi",Firozabad,9.75,4.64,103,Chennai Warehouse,485,2026-07-13,143.0,Weather,Low,Molestias doloremque sed sint.,2026-06-21,143.0,Change Transport Route,Implemented,2026-02-26,143.0,Failed,3.0,8799.91,Issue resolved successfully,Average,High,5,1.3277310924369747,November,2024,4,Wednesday,1,Major Delay,0,0,High,809418.42
52,15,59,2025-03-13,2025-03-19,2025-03-20,99,Delivered,Omnis Product,Electronics,2194.29,10,Sastry and Sons,Haldia,5.45,4.34,59,Chennai Warehouse,265,2026-07-01,,,,,,,,,,,,,,,Average,No Cost,1,1.4691943127962086,March,2025,1,Thursday,1,Minor Delay,0,0,Medium,217234.71
53,19,63,2025-03-17,2025-03-19,2025-03-22,161,Delivered,Minus Product,Electronics,1218.88,8,"Nagar, Hari and Chada",Munger,9.42,4.61,63,Hyderabad Warehouse,518,2026-06-17,,,,,,,,,,,,,,,Average,No Cost,3,1.51131221719457,March,2025,1,Monday,1,Minor Delay,0,0,High,196239.68000000002
54,5,2,2025-09-25,2025-10-04,2025-10-02,275,In Transit,Veniam Product,Furniture,880.89,5,Chander-Sibal,Kochi,6.81,4.37,2,Delhi Warehouse,824,2026-06-22,,,,,,,,,,,,,,,Average,No Cost,-2,1.7407407407407407,September,2025,3,Thursday,0,On Time,0,1,High,242244.75
55,11,25,2024-11-30,2024-12-04,2024-12-02,131,Delayed,Vel Product,Automotive,3265.92,1,Banerjee Group,Alappuzha,8.52,4.3,25,Bangalore Warehouse,437,2026-07-06,,,,,,,,,,,,,,,Average,No Cost,-2,1.3842592592592593,November,2024,4,Saturday,0,On Time,0,0,High,427835.52
56,8,85,2026-04-05,2026-04-15,2026-04-19,420,Delayed,Vero Product,Medical,287.27,20,Hans-Bir,Siliguri,2.43,4.68,85,Bangalore Warehouse,854,2026-06-21,,,,,,,,,,,,,,,Fast,No Cost,4,1.5902439024390245,April,2026,2,Sunday,1,Major Delay,0,1,High,120653.4
57,7,1,2025-08-28,2025-09-04,2025-09-09,218,Delayed,Sint Product,Clothing,2204.33,20,Wali PLC,Khandwa,2.76,4.43,1,Mumbai Warehouse,324,2026-07-01,,,,,,,,,,,,,,,Fast,No Cost,5,1.4314720812182742,August,2025,3,Thursday,1,Major Delay,0,0,High,480543.94
58,2,66,2025-08-16,2025-08-25,2025-08-26,399,In Transit,Quas Product,Groceries,4225.31,19,Gour Ltd,Bhilwara,8.05,3.83,66,Bangalore Warehouse,853,2026-06-19,,,,,,,,,,,,,,,Average,No Cost,1,1.4691943127962086,August,2025,3,Saturday,1,Minor Delay,0,1,High,1685898.6900000002
59,8,39,2024-10-26,2024-10-31,2024-10-30,203,Delivered,Amet Product,Automotive,1228.36,6,Hans-Bir,Siliguri,2.43,4.68,39,Chennai Warehouse,720,2026-07-10,,,,,,,,,,,,,,,Fast,No Cost,-1,1.5902439024390245,October,2024,4,Saturday,0,On Time,0,0,High,249357.08
60,16,76,2026-02-09,2026-02-14,2026-02-15,19,Delivered,Sunt Product,Electronics,2690.2,2,Handa-Manda,Vijayanagaram,8.66,4.77,76,Delhi Warehouse,630,2026-06-16,63.0,Weather,High,Cumque deleniti laudantium eligendi quia.,2025-08-18,63.0,Change Transport Route,Pending,2025-08-02,63.0,Failed,4.0,13279.97,Shipment rerouted,Average,High,1,1.4335260115606936,February,2026,1,Monday,1,Minor Delay,1,0,High,51113.799999999996
61,6,32,2025-03-16,2025-03-18,2025-03-23,20,In Transit,Quis Product,Groceries,4929.24,1,Bhavsar-Sampath,Bangalore,2.52,3.72,32,Mumbai Warehouse,715,2026-07-01,,,,,,,,,,,,,,,Fast,No Cost,5,1.5972222222222223,March,2025,1,Sunday,1,Major Delay,0,0,High,98584.79999999999
62,8,103,2024-08-19,2024-08-29,2024-09-02,317,Cancelled,Sunt Product,Furniture,3330.94,12,Hans-Bir,Siliguri,2.43,4.68,103,Chennai Warehouse,485,2026-07-13,545.0,Transport Strike,Low,Dicta ab ipsum iste soluta.,2025-12-26,545.0,Change Transport Route,Implemented,2025-11-04,545.0,Resolved,10.0,-2319.74,Supplier changed,Fast,Low,4,1.5902439024390245,August,2024,3,Monday,1,Major Delay,0,1,High,1055907.98
63,20,43,2025-07-19,2025-07-27,2025-07-31,12,Delayed,Exercitationem Product,Furniture,2754.15,12,Chakraborty-Sengupta,Malda,5.0,3.56,43,Delhi Warehouse,560,2026-06-21,314.0,Port Congestion,Medium,Labore consectetur blanditiis commodi.,2025-07-18,314.0,Change Transport Route,Implemented,2026-01-28,314.0,Partially Resolved,10.0,9363.41,Shipment rerouted,Fast,High,4,1.3526570048309179,July,2025,3,Saturday,1,Major Delay,0,0,High,33049.8
64,11,20,2025-11-01,2025-11-05,2025-11-03,34,Delivered,Laborum Product,Electronics,563.85,5,Banerjee Group,Alappuzha,8.52,4.3,20,Bangalore Warehouse,426,2026-07-15,,,,,,,,,,,,,,,Average,No Cost,-2,1.3842592592592593,November,2025,4,Saturday,0,On Time,0,0,High,19170.9
65,5,75,2024-10-24,2024-10-28,2024-11-01,37,Delivered,Recusandae Product,Automotive,4884.77,14,Chander-Sibal,Kochi,6.81,4.37,75,Chennai Warehouse,450,2026-07-07,269.0,Supplier Delay,Low,Saepe numquam pariatur est natus ad.,2026-01-16,269.0,Increase Safety Stock,Approved,2026-04-12,269.0,Partially Resolved,7.0,-2676.82,Supplier changed,Average,Low,4,1.7407407407407407,October,2024,4,Thursday,1,Major Delay,0,0,High,180736.49000000002
66,9,36,2025-10-14,2025-10-16,2025-10-15,203,Delivered,Suscipit Product,Electronics,2750.46,10,"Loyal, Varma and Tripathi",Firozabad,9.75,4.64,36,Hyderabad Warehouse,271,2026-07-15,152.0,Machine Failure,High,Ducimus suscipit aperiam quasi expedita.,2026-01-04,152.0,Switch Supplier,Implemented,2026-01-07,152.0,Partially Resolved,4.0,2310.22,Issue resolved successfully,Average,Medium,-1,1.3277310924369747,October,2025,4,Tuesday,0,On Time,1,0,Medium,558343.38
67,3,8,2026-04-13,2026-04-23,2026-04-27,67,Delayed,Voluptatem Product,Furniture,3535.61,12,"Balan, Virk and Mangal",Bangalore,3.73,4.49,8,Chennai Warehouse,686,2026-07-07,,,,,,,,,,,,,,,Fast,No Cost,4,1.595,April,2026,2,Monday,1,Major Delay,0,0,High,236885.87
68,1,60,2026-02-12,2026-02-16,2026-02-18,213,Delivered,Ipsa Product,Furniture,2536.82,19,"Balasubramanian, Gara and Memon",Nadiad,5.69,4.88,60,Bangalore Warehouse,753,2026-07-14,,,,,,,,,,,,,,,Average,No Cost,2,1.427027027027027,February,2026,1,Thursday,1,Minor Delay,0,0,High,540342.66
69,1,119,2025-02-02,2025-02-04,2025-02-05,303,Cancelled,Maxime Product,Furniture,4794.94,19,"Balasubramanian, Gara and Memon",Nadiad,5.69,4.88,119,Mumbai Warehouse,383,2026-07-01,,,,,,,,,,,,,,,Average,No Cost,1,1.427027027027027,February,2025,1,Sunday,1,Minor Delay,0,1,High,1452866.8199999998
70,17,70,2024-07-26,2024-07-30,2024-08-04,478,Delivered,Excepturi Product,Automotive,4641.9,16,"Sule, Jaggi and Char",Pallavaram,6.39,3.52,70,Bangalore Warehouse,802,2026-06-20,,,,,,,,,,,,,,,Average,No Cost,5,1.795,July,2024,3,Friday,1,Major Delay,0,1,High,2218828.1999999997
71,3,49,2026-05-05,2026-05-14,2026-05-13,465,Cancelled,Alias Product,Furniture,4769.64,3,"Balan, Virk and Mangal",Bangalore,3.73,4.49,49,Bangalore Warehouse,842,2026-07-01,,,,,,,,,,,,,,,Fast,No Cost,-1,1.595,May,2026,2,Tuesday,0,On Time,0,1,High,2217882.6
72,19,65,2026-07-04,2026-07-12,2026-07-10,396,Cancelled,Ut Product,Groceries,3277.06,2,"Nagar, Hari and Chada",Munger,9.42,4.61,65,Delhi Warehouse,911,2026-07-06,,,,,,,,,,,,,,,Average,No Cost,-2,1.51131221719457,July,2026,3,Saturday,0,On Time,0,1,High,1297715.76
73,13,59,2024-12-18,2024-12-21,2024-12-25,331,Cancelled,Omnis Product,Electronics,2194.29,10,"Borah, Gill and Varma",Dehri,6.15,3.78,59,Chennai Warehouse,265,2026-07-01,,,,,,,,,,,,,,,Average,No Cost,4,1.5668449197860963,December,2024,4,Wednesday,1,Major Delay,0,1,Medium,726309.99
74,18,83,2025-12-16,2025-12-20,2025-12-21,289,Delayed,Deserunt Product,Automotive,990.39,6,Raju and Sons,Etawah,3.81,4.27,83,Delhi Warehouse,294,2026-07-15,,,,,,,,,,,,,,,Fast,No Cost,1,1.9109947643979057,December,2025,4,Tuesday,1,Minor Delay,0,1,Medium,286222.71
75,1,144,2024-10-23,2024-11-01,2024-11-04,398,Cancelled,Ipsam Product,Electronics,744.79,2,"Balasubramanian, Gara and Memon",Nadiad,5.69,4.88,144,Mumbai Warehouse,720,2026-06-29,,,,,,,,,,,,,,,Average,No Cost,3,1.427027027027027,October,2024,4,Wednesday,1,Minor Delay,0,1,High,296426.42
76,12,9,2024-08-04,2024-08-08,2024-08-07,133,Delayed,Alias Product,Groceries,1305.18,16,Thakur and Sons,Kanpur,5.83,3.5,9,Mumbai Warehouse,917,2026-07-04,,,,,,,,,,,,,,,Average,No Cost,-1,1.5613207547169812,August,2024,3,Sunday,0,On Time,0,0,High,173588.94
